symbol,trigger_date,coppock_value,entry_close,exit_date,exit_close,price_change,pct_return
SPY,2021-03-09,-3.733285298706515,386.97,2021-04-07,406.6,19.629999999999995,0.05072744657208572
SPY,2021-05-20,-1.8485252021426708,415.12,2021-06-18,414.96,-0.160000000000025,-0.0003854307188283501
SPY,2021-05-24,-1.590803965834802,419.12,2021-06-22,423.02,3.8999999999999773,0.009305210918113982
SPY,2021-09-24,-4.650017049173034,443.89,2021-10-22,453.09,9.199999999999989,0.02072585550474204
SPY,2021-10-01,-5.615809242364298,434.24,2021-10-29,459.14,24.899999999999977,0.057341562269712654
SPY,2021-10-05,-5.3560078647784435,432.99,2021-11-02,461.87,28.879999999999995,0.06669899997690476
SPY,2021-12-07,-3.4526552400118073,468.29,2022-01-05,468.5,0.20999999999997954,0.000448440069187761
SPY,2022-01-28,-13.509732451167084,441.95,2022-02-28,436.49,-5.4599999999999795,-0.012354338726100145
SPY,2022-03-02,-6.9856563429338125,437.79,2022-03-30,458.63,20.839999999999975,0.04760273190342401
SPY,2022-03-09,-6.721053263013486,427.45,2022-04-06,446.64,19.189999999999998,0.044894139665457855
SPY,2022-03-15,-5.16927385071766,426.17,2022-04-12,438.28,12.109999999999957,0.028415890372386565
SPY,2022-04-28,-9.52499189643432,427.75,2022-05-26,405.31,-22.439999999999998,-0.05246054938632383
SPY,2022-05-04,-10.389391148272574,429.08,2022-06-02,417.37,-11.70999999999998,-0.027290948074951027
SPY,2022-05-13,-13.798479382718895,401.61,2022-06-13,375.08,-26.53000000000003,-0.06605911207390258
SPY,2022-05-20,-11.776549125418965,389.59,2022-06-21,375.12,-14.46999999999997,-0.03714161041094477
SPY,2022-06-24,-16.399977439308756,390.07,2022-07-25,395.49,5.420000000000016,0.01389494193349905
SPY,2022-09-08,-12.285249930738457,400.375,2022-10-06,373.19,-27.185000000000002,-0.06789884483296915
SPY,2022-10-03,-15.864304360698727,366.66,2022-10-31,386.22,19.560000000000002,0.05334642448044513
SPY,2022-12-30,-8.159744232613765,382.47,2023-01-31,406.5,24.029999999999973,0.06282845713389285
SPY,2023-03-03,-6.006019284684877,404.175,2023-03-31,409.37,5.194999999999993,0.012853343230036396
SPY,2023-03-14,-5.324012302563368,391.68,2023-04-12,408.04,16.360000000000014,0.04176879084967333
SPY,2023-03-24,-2.5182432144623967,395.7,2023-04-24,412.63,16.930000000000007,0.04278493808440742
SPY,2023-05-05,-0.6868891841723098,412.68,2023-06-05,427.1,14.420000000000016,0.03494232819618115
SPY,2023-05-10,-0.38362289035499736,412.68,2023-06-08,429.17,16.49000000000001,0.039958321217408166
SPY,2023-05-15,0.13594929128460376,413.02,2023-06-13,436.67,23.650000000000034,0.05726114958113415
SPY,2023-08-23,-5.354809949795774,442.98,2023-09-21,431.3,-11.680000000000007,-0.026366878865863086
SPY,2023-10-05,-8.824389910038503,424.31,2023-11-02,430.69,6.3799999999999955,0.015036176380476496
SPY,2023-11-02,-5.779795123912138,430.69,2023-12-01,458.99,28.30000000000001,0.06570851424458435
SPY,2024-04-23,-6.731618494530555,505.5,2024-05-21,531.34,25.840000000000032,0.05111770524233439
SPY,2024-08-08,-8.911602177600011,530.61,2024-09-06,540.46,9.850000000000023,0.01856354007651584
SPY,2024-09-13,-1.7323589623393552,561.89,2024-10-11,579.6,17.710000000000036,0.03151862464183397
SPY,2024-11-06,-1.1850974908753324,591.01,2024-12-05,606.69,15.680000000000064,0.026530853961862055
SPY,2025-01-03,-4.764684446445215,591.94,2025-02-04,601.74,9.799999999999955,0.01655573199986482
SPY,2025-01-15,-2.7431666137369,592.75,2025-02-13,609.69,16.940000000000055,0.028578658793757983
SPY,2025-03-14,-12.885704831144265,562.78,2025-04-11,534.0,-28.779999999999973,-0.051138988592345114
SPY,2025-04-14,-13.858941391786185,538.98,2025-05-13,586.76,47.77999999999997,0.0886489294593491
SPY,2025-04-17,-12.956239050074732,526.34,2025-05-16,594.28,67.93999999999994,0.12908006231713332
SPY,2025-10-23,-0.014674161857308153,671.525,2025-11-20,652.42,-19.105000000000018,-0.028450169390566327
SPY,2025-11-24,-4.426551591686125,668.82,2025-12-23,687.91,19.089999999999918,0.02854280673424836
SPY,2026-02-06,-0.3576778014315191,690.72,2026-03-09,678.3,-12.420000000000073,-0.01798123697011822
SPY,2026-02-20,-1.6040891823514067,689.44,2026-03-20,648.48,-40.960000000000036,-0.059410536087259325
SPY,2026-02-24,-1.5560574168091692,687.37,2026-03-24,653.2,-34.16999999999996,-0.04971121812124468
SPY,2026-03-02,-0.43980664003320774,686.35,2026-03-30,632.02,-54.33000000000004,-0.07915786406352454
SPY,2026-03-04,-0.5850853836388132,685.13,2026-04-01,655.18,-29.950000000000045,-0.043714331586706234
